year,arson,arson_rate,violent,violent_rate,larceny,larceny_rate,pop,pop_delta,pop_delta_pct,total_jobs,manu_jobs,manu_delta,manu_delta_pct,manu_delta5,manu_delta_pct5
1980,450,99.82475210186563,10983,2436.3894496328667,39402,8740.655294039352,450790,-54661,-10.814302474423831,412112,89308,-7666,-7.905211706230536,-7275,-7.5323814750007765
1981,443,97.54142758374691,10364,2281.985001078901,38441,8464.085818841568,454166,3376,0.7489074735464407,381294,78598,-10710,-11.992206745196398,-16571,-17.41218253843163
1982,364,79.93640224700349,10069,2211.207786332632,37817,8304.821219161899,455362,1196,0.26333983609517225,350766,70296,-8302,-10.562609735616682,-26613,-27.46184564901093
1983,315,68.88829598785816,8461,1850.3614995341838,32167,7034.697831877566,457262,1900,0.41725045128930394,338102,64934,-5362,-7.627745533174007,-33123,-33.779332429097366
1984,396,89.48586304143467,7729,1746.5561501193145,29359,6634.382457155254,442528,-14734,-3.2222227082066732,344448,65247,313,0.48202790525764627,-31727,-32.717016932373625
1985,427,99.04687677594298,8642,2004.597445193675,30109,6984.080592147229,431109,-11419,-2.5804016920963195,336315,62312,-2935,-4.49829110916977,-26996,-30.227975097415683
1986,533,122.72679128156243,9889,2277.0079530644857,32102,7391.698787468512,434298,3189,0.7397201171861408,340452,60649,-1663,-2.6688278341250484,-17949,-22.83645894297565
1987,563,131.10890655637684,9778,2277.0566399791346,36130,8413.79181861793,429414,-4884,-1.1245734495668873,329980,52718,-7931,-13.076885026958399,-17578,-25.005690224194833
1988,657,154.52024638570794,10481,2465.0330325245127,37520,8824.352578982895,425187,-4227,-0.9843647389232768,319870,49703,-3015,-5.719109222656398,-15231,-23.45612468044476
1989,601,148.37088276972148,12644,3121.466625191944,39821,9830.743631901962,405066,-20121,-4.732270742049969,320363,49097,-606,-1.2192422992575902,-16150,-24.752095881802994
1990,687,173.18527294956954,13682,3449.0842860203943,37694,9502.249896013209,396685,-8381,-2.0690455382579627,318691,48618,-479,-0.9756196916308533,-13694,-21.976505328026704
1991,867,216.82697357561935,14076,3520.2496886394674,41925,10484.972165118617,399858,3173,0.7998789971892055,309102,46456,-2162,-4.446912666090749,-14193,-23.401869775264224
1992,935,232.2560131951224,13247,3290.5833227762414,38965,9678.989897484431,402573,2715,0.678991041819846,304524,44921,-1535,-3.304201825383158,-7797,-14.790014795705453
1993,806,208.2402151643315,14998,3874.9215223754886,43263,11177.538993367833,387053,-15520,-3.855201416885882,309151,44766,-155,-0.3450501992386634,-4937,-9.933002032070497
1994,854,218.7292700230767,14644,3750.669122035053,42698,10935.951254619824,390437,3384,0.8742988686303943,310553,44493,-273,-0.6098378233480767,-4604,-9.377355031875673
1995,769,207.04045231204148,12452,3352.493773978596,41728,11234.569563168876,371425,-19012,-4.869415552317019,307662,42871,-1622,-3.645517272379925,-5747,-11.820724834423464
1996,784,209.60269061413052,10203,2727.775832061191,40584,10850.147443729431,374041,2616,0.7043144645621592,302794,40721,-2150,-5.015045135406218,-5735,-12.345014637506457
1997,837,221.88584410730053,9591,2542.541374949963,35098,9304.360043581879,377221,3180,0.8501741787664989,299159,39665,-1056,-2.5932565506740994,-5256,-11.700540949667193
1998,661,192.0657382036478,8848,2570.94954860193,37069,10771.081466673253,344153,-33068,-8.766213970059992,297173,39105,-560,-1.4118240262195891,-5661,-12.645757941294733
1999,678,198.922649015949,7611,2233.038763510897,35036,10279.430576582286,340836,-3317,-0.9638155122866865,292397,36513,-2592,-6.628308400460299,-7980,-17.935405569415412
2000,796,232.94742879885752,7936,2322.4507474217753,37921,11097.48674306718,341708,872,0.2558415190883592,293357,35430,-1083,-2.9660668802892123,-7441,-17.35672132677101
2001,711,202.94802703690172,7664,2187.614176105225,39983,11412.758037997808,350336,8628,2.5249628337645005,289806,28742,-6688,-18.876658199266156,-11979,-29.417253996709313
2002,585,165.72050175068838,7499,2124.3385344075423,38689,10959.9324653545,353004,2668,0.7615546218487395,284142,27649,-1093,-3.8027973001182938,-12016,-30.29370981974033
2003,470,138.1312893821123,6325,1858.8944794507663,36724,10793.049938869557,340256,-12748,-3.611290523620129,278596,26369,-1280,-4.62946218669753,-12736,-32.56872522695308
2004,576,171.86693441307142,6897,2057.92751153985,35136,10483.882999197358,335143,-5113,-1.5026920906611494,275262,25010,-1359,-5.153779058743221,-11503,-31.50384794456769
2005,535,154.6220430340602,8323,2405.4565685466973,33997,9825.58055519429,346005,10862,3.2410045861020516,276267,24654,-356,-1.4234306277489004,-10776,-30.414902624894157
2006,431,124.25081945000994,8605,2480.692114541382,35388,10201.828303241187,346879,874,0.2525975058163899,277562,24319,-335,-1.358805873286282,-4423,-15.388629879618676
2007,410,117.74943494630914,7654,2198.1809148269513,29373,8435.74183579985,348197,1318,0.3799595824480583,278971,23864,-455,-1.870965089025042,-3785,-13.68946435675793
2008,325,91.23985132115305,7383,2072.688684012532,25803,7243.882718891421,356204,8007,2.299560306378286,278489,22994,-870,-3.6456587328193097,-3375,-12.799120178998066
2009,256,72.07044886376433,7353,2070.054728497106,25482,7173.824913853291,355208,-996,-0.279615052048826,268306,20692,-2302,-10.011307297555884,-4318,-17.265093962415033
2010,250,70.39259357287463,6205,1747.1441724787485,22744,6404.036592885842,355151,-57,-0.016046935879822526,267342,19759,-933,-4.508988981248792,-4895,-19.854790297720452
2011,191,59.60293833124255,5950,1856.740749062268,20781,6484.86210189294,320454,-34697,-9.769647276792124,268571,20030,271,1.3715268991345717,-4289,-17.63641597105144
2012,196,61.50621181358597,5661,1776.4625769219906,18787,5895.495925213468,318667,-1787,-0.5576463392561802,270092,20910,880,4.393409885172242,-2954,-12.378478042239356
2013,179,56.189827443865106,5077,1593.7192957123082,18239,5725.398115914278,318563,-104,-0.03263594912557623,276705,18217,-2693,-12.879005260640842,-4777,-20.774984778637908
2014,190,59.64077420002888,5348,1678.7308443250233,17272,5421.660273594204,318574,11,0.003453006155768247,277305,18220,3,0.016468134160399626,-2472,-11.946646046781364
2015,223,70.32592756114099,5762,1817.1210520506472,17616,5555.4329144262765,317095,-1479,-0.46425634232548796,280923,18426,206,1.1306256860592756,-1333,-6.746292828584442
2016,269,85.53068771124332,6017,1913.1529663886656,17356,5518.478126083044,314507,-2588,-0.8161591951938694,282484,17656,-770,-4.178877672853576,-2374,-11.852221667498753
2017,201,64.77936342189736,6461,2082.2859058153176,17551,5656.430882675227,310284,-4223,-1.3427364096824554,285447,16901,-755,-4.27616674218396,-4009,-19.172644667623146
2018,188,61.26272912423625,5525,1800.4073319755598,16615,5414.256619144603,306875,-3409,-1.0986708950509856,290777,18530,1629,9.638482930004141,313,1.7181753307350278
